object_type,n,k,trial,instance_seed,r,rho,hidden_line_count,approx_lines,exact_lines,line_count_ratio,exact_match,approx_runtime_seconds,exact_runtime_seconds,candidate_lines,graph_nodes,graph_edges,exact_candidates,exact_combinations_checked,maximum_realised_distance
disk,8,2,0,1268749147,1.5,0.8,2,4,2,2.0,False,4.937499761581421e-05,0.00011158396955579519,9,9,7,22,171,1.2928215010954307
disk,8,2,1,186646028,1.5,0.8,2,2,2,1.0,True,4.833308048546314e-05,0.00010987499263137579,7,7,6,24,158,0.982950463583262
disk,8,2,2,399176638,1.5,0.8,2,3,2,1.5,False,4.549999721348286e-05,0.00010504201054573059,7,7,7,26,105,0.9857664757355102
disk,8,2,3,1460099648,1.5,0.8,2,3,2,1.5,False,4.5749940909445286e-05,9.937502909451723e-05,7,7,7,22,68,0.9302110507583474
disk,8,2,4,2100576562,1.5,0.8,2,2,2,1.0,True,4.616705700755119e-05,0.00010916695464402437,6,6,6,24,141,1.2594763578656198
disk,8,2,5,1756382611,1.5,0.8,2,3,2,1.5,False,4.7874986194074154e-05,0.00012429198250174522,7,7,6,23,245,1.4415962714592243
disk,8,2,6,1617636769,1.5,0.8,2,3,2,1.5,False,5.466700531542301e-05,0.00012037507258355618,7,7,6,24,155,1.3874221376266689
disk,8,2,7,926814611,1.5,0.8,2,3,2,1.5,False,5.1875016652047634e-05,0.00012179207988083363,8,8,6,22,182,1.1480941635821356
disk,8,2,8,25308890,1.5,0.8,2,4,2,2.0,False,5.008396692574024e-05,0.00011725001968443394,9,9,7,24,126,1.46009884199975
disk,8,2,9,1159826862,1.5,0.8,2,3,2,1.5,False,5.2916002459824085e-05,0.00011541706044226885,8,8,6,22,112,1.3193925656178045
disk,8,2,10,1002545968,1.5,0.8,2,3,2,1.5,False,5.341705400496721e-05,0.00011358293704688549,9,9,7,20,97,1.3353662575472904
disk,8,2,11,322601951,1.5,0.8,2,2,2,1.0,True,5.2292016334831715e-05,0.00011516700033098459,7,7,6,24,84,1.2234775123045345
disk,8,2,12,66741835,1.5,0.8,2,2,1,2.0,False,5.345791578292847e-05,0.00010629103053361177,6,6,5,26,19,0.7181815605464477
disk,8,2,13,551020235,1.5,0.8,2,2,2,1.0,True,5.083298310637474e-05,0.00011616700794547796,6,6,5,27,119,0.30306174473598335
disk,8,2,14,715529157,1.5,0.8,2,3,2,1.5,False,5.208398215472698e-05,0.00012183305807411671,7,7,5,24,173,0.12812592416388724
disk,8,3,0,136265670,1.5,0.8,3,2,2,1.0,True,5.0042057409882545e-05,0.00011270795948803425,5,5,5,26,82,1.4943986635598951
disk,8,3,1,1865945199,1.5,0.8,3,3,2,1.5,False,4.866695962846279e-05,0.0001194169744849205,7,7,6,25,149,1.4007491565561956
disk,8,3,2,662312579,1.5,0.8,3,2,2,1.0,True,4.6625034883618355e-05,0.0001069589052349329,5,5,4,26,33,1.002574345938126
disk,8,3,3,921587960,1.5,0.8,3,3,2,1.5,False,5.154102109372616e-05,0.00011645897757261992,6,6,5,23,130,1.0335205841883404
disk,8,3,4,1056082988,1.5,0.8,3,2,1,2.0,False,5.2875024266541004e-05,0.00010833307169377804,6,6,6,26,19,0.9146699894124655
disk,8,3,5,1433198084,1.5,0.8,3,4,3,1.3333333333333333,False,5.520903505384922e-05,0.0001847919775173068,8,8,8,23,323,1.4660264015610422
disk,8,3,6,160338858,1.5,0.8,3,4,3,1.3333333333333333,False,5.2332994528114796e-05,0.00017037498764693737,8,8,6,22,581,1.4859350803534024
