object_type,distribution,n,repeat,instance_seed,k,r,rho,runtime_seconds,wall_time_seconds,selected_lines,candidate_vertical_count,candidate_horizontal_count,graph_nodes,graph_edges,matching_backend
disk,clustered,500,2,1974694756,25,2.0,0.8,0.0005047500599175692,0.000576874939724803,8,8,11,19,57,builtin
disk,clustered,500,3,1360913347,25,2.0,0.8,0.00047166692093014717,0.0005815420299768448,10,10,13,23,70,builtin
disk,clustered,500,4,283518254,25,2.0,0.8,0.0004889169940724969,0.0005740830674767494,13,13,13,26,67,builtin
disk,clustered,500,5,628915165,25,2.0,0.8,0.0013687909813597798,0.0014922500122338533,10,12,10,22,69,builtin
disk,clustered,500,6,1650476368,25,2.0,0.8,0.0005198329454287887,0.0005918750539422035,15,15,15,30,84,builtin
disk,clustered,1000,0,1006167045,25,2.0,0.8,0.0014577079564332962,0.0020307920640334487,12,12,13,25,80,builtin
disk,clustered,1000,1,2143484707,25,2.0,0.8,0.0027802499243989587,0.0033110419753938913,13,16,13,29,94,builtin
disk,clustered,1000,2,819213259,25,2.0,0.8,0.001399667002260685,0.01645150000695139,8,8,18,26,85,builtin
disk,clustered,1000,3,2089965926,25,2.0,0.8,0.00328512501437217,0.005044999998062849,11,11,12,23,76,builtin
disk,clustered,1000,4,1974377794,25,2.0,0.8,0.0017834999598562717,0.0029603750444948673,12,15,12,27,91,builtin
disk,clustered,1000,5,1639746305,25,2.0,0.8,0.0011760419001802802,0.0013331669615581632,12,12,15,27,89,builtin
disk,clustered,1000,6,734207078,25,2.0,0.8,0.0011389169376343489,0.0012813749490305781,14,14,19,33,96,builtin
disk,clustered,2000,0,1661926190,25,2.0,0.8,0.0050518750213086605,0.0061775000067427754,10,10,15,25,86,builtin
disk,clustered,2000,1,466793353,25,2.0,0.8,0.005192082957364619,0.0065579169895499945,16,16,16,32,106,builtin
disk,clustered,2000,2,895470669,25,2.0,0.8,0.002234000014141202,0.0024713330203667283,16,16,16,32,96,builtin
disk,clustered,2000,3,2063189701,25,2.0,0.8,0.0026536250952631235,0.0030491669895127416,15,16,15,31,80,builtin
disk,clustered,2000,4,72372471,25,2.0,0.8,0.002313166973181069,0.002545083058066666,11,15,11,26,110,builtin
disk,clustered,2000,5,1072576584,25,2.0,0.8,0.004719458054751158,0.004995374940335751,10,17,10,27,95,builtin
disk,clustered,2000,6,15291905,25,2.0,0.8,0.004770874977111816,0.007985041942447424,15,18,15,33,111,builtin
disk,clustered,5000,0,934163869,25,2.0,0.8,0.01456254196818918,0.015466334065422416,13,13,16,29,116,builtin
disk,clustered,5000,1,2014072082,25,2.0,0.8,0.011151332990266383,0.013713624910451472,13,15,13,28,126,builtin
disk,clustered,5000,2,556756874,25,2.0,0.8,0.013364332960918546,0.017416124930605292,15,15,17,32,139,builtin
disk,clustered,5000,3,1992731656,25,2.0,0.8,0.014333667000755668,0.016145458910614252,10,16,10,26,104,builtin
disk,clustered,5000,4,205888490,25,2.0,0.8,0.007740291999652982,0.009550040937028825,13,13,13,26,110,builtin
disk,clustered,5000,5,1342402950,25,2.0,0.8,0.005773583077825606,0.0065183748956769705,13,17,13,30,110,builtin
disk,clustered,5000,6,350959107,25,2.0,0.8,0.010307167074643075,0.011090041021816432,13,13,13,26,96,builtin
